timestamp,src_ip,dst_ip,dst_port,protocol,event,expected
2026-05-18T10:00:00+08:00,198.51.100.10,192.0.2.20,22,TCP,connection,port_scan
2026-05-18T10:00:05+08:00,198.51.100.10,192.0.2.20,23,TCP,connection,port_scan
2026-05-18T10:00:10+08:00,198.51.100.10,192.0.2.20,80,TCP,connection,port_scan
2026-05-18T10:00:15+08:00,198.51.100.10,192.0.2.20,443,TCP,connection,port_scan
2026-05-18T10:00:20+08:00,198.51.100.10,192.0.2.20,3306,TCP,connection,port_scan
2026-05-18T10:02:00+08:00,203.0.113.50,192.0.2.30,80,TCP,GET /index.html,normal
2026-05-18T10:02:30+08:00,203.0.113.51,192.0.2.30,80,TCP,GET /admin?id=1' OR '1'='1,possible_sql_injection
2026-05-18T10:03:00+08:00,203.0.113.60,192.0.2.40,22,TCP,ssh_failed,ssh_bruteforce
2026-05-18T10:03:10+08:00,203.0.113.60,192.0.2.40,22,TCP,ssh_failed,ssh_bruteforce
2026-05-18T10:03:20+08:00,203.0.113.60,192.0.2.40,22,TCP,ssh_failed,ssh_bruteforce
